userid,firstname,lastname,date_of_birth,gender,dept,nom_kp
1077,Kari,Rosario,1994-01-11,Female,Information Technology,940111-77-4101
1078,Maurice,Navarro,1970-03-17,Female,Marketing,700317-88-4103
1079,Daniel,Fletcher,1980-06-16,Female,Finance,800616-44-4105
1080,Aaron,Howard,1989-04-18,Female,Marketing,890418-88-4107
1081,Morgan,Peterson,1992-03-11,Male,Human Resources,920311-66-3122
1082,Vincent,Morton,2001-09-15,Male,Information Technology,010915-77-3124
1083,Tammy,Blevins,1979-11-30,Male,Finance,791130-44-3126
1084,Phillip,Guerra,1974-01-20,Male,Finance,740120-44-3128
1085,Christopher,Davis,1964-07-03,Female,Marketing,640703-88-4109
1086,Kevin,Jones,2000-04-04,Female,Quality,000404-33-4111
1087,Erin,Thomas,1998-06-07,Male,Marketing,980607-88-3130
1088,Karen,Perez,1987-07-21,Male,Operations,870721-99-3132
1089,Stephen,Powell,1990-03-17,Female,Human Resources,900317-66-4113
1090,Anne,Butler,1996-08-16,Female,Finance,960816-44-4115
1091,Steven,Stewart,1983-01-06,Female,Human Resources,830106-66-4117
1092,Jacob,Duncan,1967-05-11,Male,Human Resources,670511-66-3134
1093,Anna,Lee,1962-01-13,Female,Operations,620113-99-4119
1094,Oscar,Burns,1974-04-04,Male,Quality,740404-33-3136
1095,Edward,Smith,1979-11-03,Male,Human Resources,791103-66-3138
1096,Jason,Evans,1985-02-22,Female,Quality,850222-33-4121
1097,Michelle,Medina,2004-06-13,Male,Human Resources,040613-66-3140
1098,Robert,Bennett,1994-12-09,Female,Information Technology,941209-77-4123
1099,Nicholas,Greene,1972-08-16,Male,Human Resources,720816-66-3142
1100,John,Scott,1979-04-11,Female,Quality,790411-33-4125
1101,Richard,Hess,1974-06-23,Female,Marketing,740623-88-4127
1102,Alexis,Phillips,1988-07-02,Female,Information Technology,880702-77-4129
1103,Jennifer,Clark,1984-01-26,Male,Human Resources,840126-66-3144
1104,Ashley,Walker,1998-04-07,Female,Information Technology,980407-77-4131
1105,Michelle,Jones,2000-04-01,Female,Information Technology,000401-77-4133
1106,Mark,Williams,1984-01-08,Male,Quality,840108-33-3146
1107,Adrian,Tanner,1984-08-29,Male,Operations,840829-99-3148
1108,Brian,Anderson,1986-08-18,Female,Marketing,860818-88-4135
1109,Diane,Cooper,1956-12-04,Male,Information Technology,561204-77-3150
1110,Danielle,Parsons,2006-06-27,Female,Information Technology,060627-77-4137
1111,David,Nichols,1986-10-08,Male,Finance,861008-44-3152
1112,Joshua,Gallegos,1969-11-27,Female,Operations,691127-99-4139
1113,Darren,Aguilar,1982-11-18,Male,Marketing,821118-88-3154
1114,Donald,Schaefer,1962-11-13,Female,Finance,621113-44-4141
1115,Michelle,Stokes,1995-03-01,Male,Operations,950301-99-3156
1116,Richard,Rodriguez,1981-09-14,Male,Finance,810914-44-3158
1117,Christina,Wiggins,1985-06-30,Male,Marketing,850630-88-3160
1118,Patricia,Flores,1995-05-05,Female,Human Resources,950505-66-4143
1119,Samantha,Johnson,1958-11-27,Female,Information Technology,581127-77-4145
1120,Kathleen,Rodriguez,1959-07-30,Male,Marketing,590730-88-3162
1121,Gail,Maldonado,1962-10-18,Female,Human Resources,621018-66-4147
1122,Kenneth,Nguyen,1976-04-22,Female,Operations,760422-99-4149
1123,Beth,Cabrera,1954-11-22,Male,Human Resources,541122-66-3164
1124,Courtney,Davis,1984-12-16,Male,Operations,841216-99-3166
1125,Victoria,Rivera,1991-11-04,Female,Operations,911104-99-4151
1126,Latasha,Johnson,1988-06-22,Male,Quality,880622-33-3168
1127,Justin,Solomon,1995-08-07,Female,Quality,950807-33-4153
1128,Benjamin,Thompson,1983-04-16,Female,Information Technology,830416-77-4155
1129,Ryan,Sexton,1959-08-15,Female,Information Technology,590815-77-4157
1130,Miguel,Goodwin,1968-12-15,Female,Marketing,681215-88-4159
1131,Taylor,Garrett,1973-08-19,Male,Quality,730819-33-3170
1132,Oscar,Morales,1977-02-01,Male,Operations,770201-99-3172
1133,Kathryn,Holt,1960-02-12,Male,Quality,600212-33-3174
1134,Erika,Rodriguez,1985-01-10,Male,Finance,850110-44-3176
1135,Jesse,Payne,1961-10-30,Female,Operations,611030-99-4161
1136,Laura,Yang,1977-06-28,Male,Marketing,770628-88-3178
1137,Kevin,Cooper,1969-12-05,Male,Marketing,691205-88-3180
1138,Alexandria,Brooks,1994-06-10,Female,Human Resources,940610-66-4163
1139,Joshua,Smith,1990-04-06,Female,Finance,900406-44-4165
1140,Ashley,Schneider,2001-05-02,Male,Human Resources,010502-66-3182
1141,David,Pittman,1964-01-06,Female,Information Technology,640106-77-4167
1142,Matthew,Nguyen,1996-12-03,Female,Finance,961203-44-4169
1143,Samuel,Lozano,1973-09-12,Male,Marketing,730912-88-3184
1144,Amanda,Johnson,1963-07-25,Female,Finance,630725-44-4171
1145,Pamela,Richardson,1967-05-02,Female,Marketing,670502-88-4173
1146,Michelle,Martin,1994-08-14,Male,Quality,940814-33-3186
1147,Casey,Smith,2005-01-04,Male,Information Technology,050104-77-3188
1148,Shawn,Avila,1989-02-06,Female,Marketing,890206-88-4175
1149,Melissa,Day,2000-02-14,Male,Human Resources,000214-66-3190
1150,Aaron,Collins,1998-10-20,Male,Operations,981020-99-3192
1151,Paul,Griffin,1964-02-22,Male,Human Resources,640222-66-3194
1152,Janice,Hughes,1988-05-17,Female,Finance,880517-44-4177
1153,Teresa,Lewis,1981-09-09,Female,Finance,810909-44-4179
1154,Kelly,White,1974-01-04,Female,Information Technology,740104-77-4181
1155,Christopher,Hancock,2003-04-20,Female,Human Resources,030420-66-4183
1156,Andrew,Brown,1996-01-07,Female,Quality,960107-33-4185
1157,Christopher,Thomas,1998-06-27,Male,Finance,980627-44-3196
1158,Jessica,Christian,1962-10-20,Male,Quality,621020-33-3198
1159,Walter,White,1999-10-17,Female,Marketing,991017-88-4187
1160,Sandra,Barnes,2002-03-19,Female,Human Resources,020319-66-4189
1161,Patrick,Lawson,1969-08-31,Male,Human Resources,690831-66-3200
1162,Robert,Lowery,1983-01-01,Male,Information Technology,830101-77-3202
1163,Robin,Johnson,1985-10-26,Male,Quality,851026-33-3204
1164,Andrew,Ritter,1975-02-06,Female,Information Technology,750206-77-4191
1165,Christine,Sanders,1995-07-01,Female,Marketing,950701-88-4193
1166,Lisa,Goodman,1977-08-12,Female,Operations,770812-99-4195
1167,Bernard,Gregory,1957-05-09,Male,Marketing,570509-88-3206
1168,Christopher,Pierce,1995-04-06,Female,Quality,950406-33-4197
1169,Amber,Robertson,1982-09-29,Female,Information Technology,820929-77-4199
1170,Abigail,Goodman,1981-10-18,Male,Operations,811018-99-3208
1171,Sandra,Black,2002-09-21,Male,Operations,020921-99-3210
1172,Ronald,Skinner,1988-01-21,Male,Human Resources,880121-66-3212
1173,Patrick,Howard,1956-11-30,Female,Quality,561130-33-4201
1174,Sarah,Alexander,1989-07-31,Male,Quality,890731-33-3214
1175,Jason,Morris,1985-10-14,Male,Quality,851014-33-3216
1176,Kristie,Mathis,1999-03-07,Male,Marketing,990307-88-3218
1177,Thomas,Strickland,1971-01-26,Male,Information Technology,710126-77-3220
1178,Catherine,Mendez,2003-02-04,Male,Information Technology,030204-77-3222
1179,Michelle,Armstrong,2004-12-19,Male,Quality,041219-33-3224
1180,Mark,Jones,1987-10-01,Male,Human Resources,871001-66-3226
1181,Cheryl,Jones,1972-08-26,Male,Information Technology,720826-77-3228
1182,Harold,Bradford,1983-05-13,Male,Information Technology,830513-77-3230
1183,Brett,Zhang,1975-10-18,Female,Human Resources,751018-66-4203
1184,Theresa,Sharp,1973-08-03,Female,Quality,730803-33-4205
1185,Jason,Hansen,2005-11-25,Female,Human Resources,051125-66-4207
1186,Steven,Miller,1961-04-05,Male,Quality,610405-33-3232
1187,Emma,Gentry,1973-09-18,Female,Information Technology,730918-77-4209
1188,Veronica,Nolan,2001-01-06,Male,Information Technology,010106-77-3234
1189,Linda,Macias,2002-03-23,Female,Operations,020323-99-4211
1190,Samuel,Glover,1965-04-25,Male,Marketing,650425-88-3236
1191,Brianna,Carter,1984-06-20,Male,Information Technology,840620-77-3238
1192,Jerry,Hernandez,1965-09-06,Male,Human Resources,650906-66-3240
1193,Julie,Pittman,1958-06-05,Female,Finance,580605-44-4213
1194,Jeffrey,Dominguez,1957-04-23,Male,Marketing,570423-88-3242
1195,Jeremy,Hernandez,1954-09-01,Male,Operations,540901-99-3244
1196,Russell,Gonzalez,1980-10-07,Male,Marketing,801007-88-3246
1197,Christina,Luna,2001-05-10,Male,Information Technology,010510-77-3248
1198,Amber,Rush,1993-12-26,Male,Finance,931226-44-3250
1199,Amy,Stanton,1965-09-11,Male,Finance,650911-44-3252
1200,Bobby,Miller,1999-12-05,Male,Finance,991205-44-3254
1201,Kathleen,Pope,1991-01-25,Female,Marketing,910125-88-4215
1202,Becky,Huynh,1978-07-28,Female,Operations,780728-99-4217
1203,Amber,Richardson,1975-08-02,Male,Marketing,750802-88-3256
1204,Denise,Villarreal,1969-04-19,Female,Human Resources,690419-66-4219
1205,Stephen,Lee,1969-05-27,Male,Operations,690527-99-3258
1206,Kristen,Rivera,1984-12-18,Male,Human Resources,841218-66-3260
1207,Jodi,Thompson,1970-11-24,Male,Quality,701124-33-3262
1208,Carol,Estrada,1998-01-17,Female,Quality,980117-33-4221
1209,Mark,Leonard,1977-04-28,Female,Marketing,770428-88-4223
1210,Kimberly,Jackson,2003-12-20,Female,Marketing,031220-88-4225
1211,Anthony,Chen,2000-03-06,Male,Information Technology,000306-77-3264
1212,Sarah,Santos,1991-10-04,Male,Quality,911004-33-3266
1213,Matthew,Trujillo,1997-12-20,Female,Finance,971220-44-4227
1214,Heather,Peck,1969-10-01,Female,Operations,691001-99-4229
1215,Joshua,Thomas,1999-04-26,Female,Finance,990426-44-4231
1216,Stacey,Klein,1969-08-24,Female,Human Resources,690824-66-4233
1217,Tiffany,Flores,1987-09-11,Male,Finance,870911-44-3268
1218,Eric,Robertson,1993-06-30,Female,Marketing,930630-88-4235
1219,Vincent,Huff,1973-06-26,Male,Information Technology,730626-77-3270
1220,Meghan,Cox,1992-02-15,Female,Marketing,920215-88-4237
1221,Roger,Hart,1992-07-21,Female,Human Resources,920721-66-4239
1222,Kim,Alvarez,1957-01-12,Male,Quality,570112-33-3272
1223,Crystal,Carney,1993-12-07,Female,Human Resources,931207-66-4241
1224,Lindsey,Brooks,1953-11-13,Female,Human Resources,531113-66-4243
1225,Jason,Santiago,1974-01-07,Female,Human Resources,740107-66-4245
1226,Daniel,Allen,1984-07-10,Male,Operations,840710-99-3274
1227,Clifford,Ryan,1980-03-18,Female,Marketing,800318-88-4247
1228,Natalie,Hall,1988-12-08,Female,Information Technology,881208-77-4249
1229,Jessica,Clark,1986-03-24,Male,Finance,860324-44-3276
1230,Jamie,West,2000-02-28,Female,Quality,000228-33-4251
1231,Kristin,Davis,1955-06-07,Female,Operations,550607-99-4253
1232,Donald,Williams,1972-11-27,Female,Finance,721127-44-4255
1233,Jacqueline,Marks,1976-06-12,Male,Finance,760612-44-3278
1234,James,Jackson,1974-04-21,Male,Finance,740421-44-3280
1235,Lee,Moore,1993-05-06,Female,Human Resources,930506-66-4257
1236,Brian,Mann,1995-11-07,Female,Finance,951107-44-4259
1237,Eric,Nguyen,1959-07-11,Female,Operations,590711-99-4261
1238,Christy,Hall,1997-10-22,Male,Human Resources,971022-66-3282
1239,Adriana,Mills,1983-01-22,Male,Marketing,830122-88-3284
1240,Jessica,West,1974-01-11,Male,Finance,740111-44-3286
1241,Carol,Palmer,1997-09-09,Male,Human Resources,970909-66-3288
1242,Robert,Johnson,1966-01-30,Male,Quality,660130-33-3290
1243,William,Bailey,1972-11-30,Male,Marketing,721130-88-3292
1244,Christine,Lang,1978-02-25,Female,Quality,780225-33-4263
1245,Linda,Franklin,1982-12-05,Male,Information Technology,821205-77-3294
1246,Christopher,Gentry,1996-04-12,Female,Human Resources,960412-66-4265
1247,Jessica,Martinez,2004-04-14,Female,Information Technology,040414-77-4267
1248,Amy,Robinson,1974-06-08,Female,Marketing,740608-88-4269
1249,Raymond,Walker,1976-10-03,Male,Human Resources,761003-66-3296
1250,Jennifer,Murphy,2002-09-09,Male,Finance,020909-44-3298
1251,Jesse,Tapia,1962-01-11,Male,Finance,620111-44-3300
1252,Anthony,Thompson,1979-11-25,Male,Marketing,791125-88-3302
1253,Jacob,Rich,1967-07-13,Female,Information Technology,670713-77-4271
1254,Brandon,Montes,1985-04-04,Male,Finance,850404-44-3304
1255,Thomas,Kemp,1969-12-08,Male,Marketing,691208-88-3306
1256,Jill,Rivera,1974-05-22,Female,Operations,740522-99-4273
1257,Michele,Warren,2006-01-05,Female,Quality,060105-33-4275
1258,Heather,Thompson,1977-07-31,Male,Operations,770731-99-3308
1259,Crystal,Young,1978-08-04,Female,Quality,780804-33-4277
1260,Jennifer,Harris,1966-12-14,Male,Information Technology,661214-77-3310
1261,John,Mckinney,1995-11-23,Male,Information Technology,951123-77-3312
1262,James,Diaz,2004-11-25,Male,Information Technology,041125-77-3314
1263,Maxwell,Richardson,1982-08-14,Male,Human Resources,820814-66-3316
1264,Michael,Sanders,2002-09-21,Male,Finance,020921-44-3318
1265,Nicole,Hamilton,1976-05-09,Female,Quality,760509-33-4279
1266,Brittany,Richardson,1987-12-30,Male,Information Technology,871230-77-3320
1267,Mark,Miller,1993-02-07,Female,Information Technology,930207-77-4281
1268,Megan,Wright,1982-10-21,Female,Information Technology,821021-77-4283
1269,Jessica,Butler,1955-04-12,Male,Marketing,550412-88-3322
1270,Christopher,Bright,1960-08-03,Male,Human Resources,600803-66-3324
1271,Ryan,Oliver,1991-04-26,Male,Operations,910426-99-3326
1272,Lydia,Small,1995-08-28,Male,Information Technology,950828-77-3328
1273,Aaron,Mckinney,1968-10-26,Male,Human Resources,681026-66-3330
1274,Christopher,Moss,1999-10-15,Female,Human Resources,991015-66-4285
1275,Patricia,Haynes,1992-06-23,Female,Quality,920623-33-4287
1276,Jimmy,Page,1962-03-12,Male,Finance,620312-44-3332
1277,Michele,Price,1967-05-20,Female,Information Technology,670520-77-4289
1278,Russell,Cross,1999-12-11,Female,Marketing,991211-88-4291
1279,Charles,Swanson,1984-06-24,Male,Operations,840624-99-3334
1280,Jackson,Henderson,1964-03-14,Female,Information Technology,640314-77-4293
1281,Karen,Glenn,1971-01-17,Female,Marketing,710117-88-4295
1282,Amanda,Ramos,1991-03-21,Male,Information Technology,910321-77-3336
1283,Linda,Black,1971-08-21,Female,Finance,710821-44-4297
1284,Mark,Adams,1995-09-30,Female,Operations,950930-99-4299
1285,Johnathan,Gonzales,1970-02-09,Female,Information Technology,700209-77-4301
1286,Jared,Thomas,1991-02-08,Female,Information Technology,910208-77-4303
1287,Barbara,Brown,1975-09-28,Male,Marketing,750928-88-3338
1288,Austin,Patton,1999-02-25,Female,Human Resources,990225-66-4305
1289,Gail,Bender,1991-07-15,Female,Quality,910715-33-4307
1290,Michelle,Fitzpatrick,1970-01-07,Female,Quality,700107-33-4309
1291,Kimberly,Smith,1964-02-28,Male,Information Technology,640228-77-3340
1292,Albert,Miller,2006-04-25,Female,Operations,060425-99-4311
1293,David,Gonzalez,1977-10-09,Female,Human Resources,771009-66-4313
1294,Dylan,Santiago,1993-05-04,Female,Operations,930504-99-4315
1295,Mary,Duffy,2006-08-30,Male,Finance,060830-44-3342
1296,Vanessa,Blake,1970-05-22,Female,Operations,700522-99-4317
1297,Henry,Simon,1993-06-17,Male,Information Technology,930617-77-3344
1298,David,Wade,1996-09-08,Male,Quality,960908-33-3346
1299,Kristi,Jordan,1991-09-13,Female,Finance,910913-44-4319
1300,Amy,Jenkins,1995-02-23,Male,Information Technology,950223-77-3348
1301,Jasmin,Rogers,1975-05-23,Female,Operations,750523-99-4321
1302,David,Patterson,1992-05-23,Female,Marketing,920523-88-4323
1303,Stephanie,Byrd,1965-06-11,Male,Marketing,650611-88-3350
1304,Dana,Mckinney,2005-10-06,Female,Information Technology,051006-77-4325
1305,Nicole,Brewer,1974-05-25,Male,Quality,740525-33-3352
1306,Louis,Downs,1994-09-29,Female,Information Technology,940929-77-4327
1307,Robert,Williams,1956-01-11,Female,Finance,560111-44-4329
1308,Stephen,Carter,1987-05-17,Male,Information Technology,870517-77-3354
1309,Stacy,Schwartz,1994-09-16,Male,Finance,940916-44-3356
1310,John,Lopez,1993-03-05,Female,Human Resources,930305-66-4331
1311,Nicole,Small,1976-05-13,Female,Human Resources,760513-66-4333
1312,Michael,Schmidt,1963-03-22,Male,Quality,630322-33-3358
1313,Chloe,Scott,1959-02-15,Male,Marketing,590215-88-3360
1314,Linda,Dunn,1982-10-14,Female,Information Technology,821014-77-4335
1315,Beverly,Arnold,2003-06-24,Female,Finance,030624-44-4337
1316,Mary,Robinson,2001-04-11,Male,Quality,010411-33-3362
1317,Michael,Woods,2003-01-15,Male,Operations,030115-99-3364
1318,Angelica,Lee,1964-05-12,Female,Operations,640512-99-4339
1319,Jared,Jenkins,1976-01-16,Female,Finance,760116-44-4341
1320,Richard,Morrison,1973-11-25,Female,Operations,731125-99-4343
1321,Walter,Roberts,2003-08-13,Female,Operations,030813-99-4345
1322,Victoria,Castaneda,1989-03-27,Female,Finance,890327-44-4347
1323,Patricia,White,1970-01-03,Female,Quality,700103-33-4349
1324,Adrienne,Holmes,1968-11-07,Female,Information Technology,681107-77-4351
1325,Caitlin,Lynch,1974-10-18,Female,Finance,741018-44-4353
1326,Maurice,Turner,1958-05-18,Female,Marketing,580518-88-4355
1327,Richard,Weeks,1987-01-16,Male,Marketing,870116-88-3366
1328,Andrew,Stephens,1958-03-05,Male,Quality,580305-33-3368
1329,Lucas,Miller,1994-06-14,Male,Marketing,940614-88-3370
1330,Alyssa,Fernandez,1971-05-03,Male,Finance,710503-44-3372
1331,Sheena,Walls,1968-02-17,Female,Quality,680217-33-4357
1332,Joshua,Stephens,1954-10-30,Female,Operations,541030-99-4359
1333,Kelly,Perry,1960-05-11,Female,Quality,600511-33-4361
1334,Amy,Roth,2002-04-01,Female,Quality,020401-33-4363
1335,Robin,Brown,1962-03-02,Male,Information Technology,620302-77-3374
1336,David,Turner,1960-07-23,Male,Finance,600723-44-3376
1337,Julie,Grant,1960-10-30,Female,Finance,601030-44-4365
1338,Joel,Richards,1993-12-05,Female,Operations,931205-99-4367
1339,Lauren,Bennett,1954-02-21,Female,Operations,540221-99-4369
1340,Amanda,Cook,1997-04-20,Male,Operations,970420-99-3378
1341,Anthony,Torres,1959-07-20,Male,Quality,590720-33-3380
1342,Brenda,Johns,2005-05-30,Female,Quality,050530-33-4371
1343,Ashley,Anthony,1981-01-19,Female,Information Technology,810119-77-4373
1344,Kathleen,Perry,2004-11-12,Female,Information Technology,041112-77-4375
1345,Ivan,Nielsen,1964-12-18,Female,Quality,641218-33-4377
1346,Doris,Hopkins,1974-02-22,Female,Operations,740222-99-4379
1347,Stephen,Roberts,1999-12-12,Male,Operations,991212-99-3382
1348,Jennifer,Haynes,1962-12-04,Male,Finance,621204-44-3384
1349,Thomas,Reynolds,1971-11-22,Male,Information Technology,711122-77-3386
1350,David,Pugh,1991-06-17,Male,Information Technology,910617-77-3388
1351,Billy,Mckinney,1970-09-02,Female,Marketing,700902-88-4381
1352,Lisa,Booker,1989-07-27,Female,Finance,890727-44-4383
1353,Rick,Winters,1989-03-28,Female,Marketing,890328-88-4385
1354,Michelle,Morgan,1994-02-03,Female,Human Resources,940203-66-4387
1355,Justin,Grimes,1978-09-06,Female,Operations,780906-99-4389
1356,April,Sanders,1962-09-14,Male,Human Resources,620914-66-3390
1357,Kristi,Perez,1981-09-29,Female,Marketing,810929-88-4391
1358,Cesar,Solomon,1967-01-02,Female,Human Resources,670102-66-4393
1359,Kathryn,Dyer,2002-08-07,Male,Finance,020807-44-3392
1360,Scott,Martinez,1964-10-26,Male,Marketing,641026-88-3394
1361,Matthew,Moore,1981-08-17,Male,Finance,810817-44-3396
1362,Jennifer,Adkins,1967-01-02,Female,Quality,670102-33-4395
1363,Denise,Williams,1954-09-08,Female,Human Resources,540908-66-4397
1364,Melissa,Gonzalez,1966-02-20,Male,Operations,660220-99-3398
1365,Austin,Freeman,1983-09-30,Female,Operations,830930-99-4399
1366,Julie,Cooper,1974-09-27,Male,Quality,740927-33-3400
1367,Kayla,Bentley,1997-03-21,Female,Human Resources,970321-66-4401
1368,Rebecca,Potter,1966-09-30,Female,Human Resources,660930-66-4403
1369,Debra,Hall,1983-10-03,Female,Finance,831003-44-4405
1370,John,Knight,1978-10-21,Male,Operations,781021-99-3402
1371,Tiffany,Gordon,1973-02-26,Female,Finance,730226-44-4407
1372,James,Young,1997-12-31,Female,Human Resources,971231-66-4409
1373,Julie,Lambert,1966-08-20,Male,Marketing,660820-88-3404
1374,Sarah,Ayala,1977-04-03,Female,Finance,770403-44-4411
1375,Marie,Fowler,1999-12-03,Male,Quality,991203-33-3406
1376,Angela,Williams,1980-09-12,Male,Operations,800912-99-3408
1377,Melvin,Jackson,1960-04-18,Female,Operations,600418-99-4413
1378,Lisa,Ellis,1975-11-21,Male,Quality,751121-33-3410
1379,Monique,Lynn,1968-08-31,Female,Human Resources,680831-66-4415
1380,Justin,Bryant,1973-04-10,Female,Information Technology,730410-77-4417
1381,Mark,Bell,1991-04-05,Male,Quality,910405-33-3412
1382,Molly,Jimenez,1992-11-30,Female,Finance,921130-44-4419
1383,Renee,Allen,1973-02-12,Female,Marketing,730212-88-4421
1384,Marissa,Arroyo,2006-03-03,Male,Human Resources,060303-66-3414
1385,Anthony,Garrett,1958-11-12,Female,Information Technology,581112-77-4423
1386,Michael,Olson,1962-09-21,Female,Finance,620921-44-4425
1387,Chris,Johnson,1981-12-08,Male,Information Technology,811208-77-3416
1388,Terrence,Graham,1970-12-05,Male,Quality,701205-33-3418
1389,Jeffery,Walker,1967-02-10,Female,Marketing,670210-88-4427
1390,Donna,Rodriguez,1956-09-12,Male,Human Resources,560912-66-3420
1391,Laura,Miller,1997-06-14,Female,Human Resources,970614-66-4429
1392,Joseph,Martin,1984-03-07,Female,Information Technology,840307-77-4431
1393,Cameron,Nelson,1982-02-01,Male,Quality,820201-33-3422
1394,Valerie,Griffith,1977-05-26,Female,Quality,770526-33-4433
1395,Jennifer,Johnson,1972-11-10,Female,Information Technology,721110-77-4435
