,emp_id,Username,First_Name,Last_Name,Gender,OriginCountry,Date_of_Birth,Date_Hired,Position,Department,Site,Site_Country,status,Age,Hired_period
22,101027,ridwan_farhan,Ridwan,Farhan,Male,Malaysia,2005-06-15,2022-03-17,Engineering Engineer,Engineering,Surabaya,Indonesia,active,19.0,2.0
23,101028,taufik_mustaqim,Taufik,Mustaqim,Male,Malaysia,1984-05-05,2022-05-19,Information Technology Manager,Information Technology,Kulim,Malaysia,active,40.0,2.0
24,101029,qayyum_khalid,Qayyum,Khalid,Male,Indonesia,2001-12-17,2024-02-04,Site Management Manager,Site Management,Surabaya,Indonesia,active,22.0,0.0
25,101030,nizamuddin_rizam,Nizamuddin,Rizam,Male,Malaysia,2004-12-01,2020-09-30,Information Technology Engineer,Information Technology,Kuala Lumpur,Malaysia,active,19.0,4.0
26,101031,abid_zulkifli,Abid,Zulkifli,Male,Malaysia,1964-12-22,2019-12-13,Sales Executive,Sales,Surabaya,Indonesia,inactive,59.0,4.0
27,101032,danish_arif,Danish,Arif,Male,Malaysia,1982-04-15,2022-07-23,Information Technology Analyst,Information Technology,Kuala Lumpur,Malaysia,active,42.0,2.0
28,101033,omar_zainudeen,Omar,Zainudeen,Male,Malaysia,2002-12-06,2022-08-04,Data Analysis Executive,Data Analysis,Kulim,Malaysia,active,21.0,2.0
29,101034,zikri_shamsul,Zikri,Shamsul,Male,Indonesia,2006-03-22,2021-11-21,Site Management Analyst,Site Management,Surabaya,Indonesia,active,18.0,2.0
30,101035,ridwan_wahid,Ridwan,Wahid,Male,Malaysia,1968-05-04,2023-06-10,Engineering Manager,Engineering,Kuala Lumpur,Malaysia,inactive,56.0,1.0
31,101036,omar_zawawi,Omar,Zawawi,Male,Malaysia,1997-12-12,2020-09-08,Executive Management Executive,Executive Management,Kulim,Malaysia,active,26.0,4.0
32,101037,khairul_yasin,Khairul,Yasin,Male,Malaysia,2000-08-18,2020-03-03,Site Support Manager,Site Support,Kuala Lumpur,Malaysia,active,24.0,4.0
33,101038,ihsan_rahman,Ihsan,Rahman,Male,Malaysia,2002-10-22,2020-07-25,Data Analysis Executive,Data Analysis,Kulim,Malaysia,active,22.0,4.0
34,101039,haikal_basri,Haikal,Basri,Male,Malaysia,1998-06-03,2023-04-28,HR Analyst,Human Resource,Surabaya,Indonesia,active,26.0,1.0
35,101040,ridwan_omar,Ridwan,Omar,Male,Malaysia,1978-09-13,2021-08-16,Data Analysis Analyst,Data Analysis,Senai,Malaysia,active,46.0,3.0
36,101041,sufyan_irwan,Sufyan,Irwan,Male,Malaysia,1994-08-29,2024-05-08,Sales Executive,Sales,Senai,Malaysia,active,30.0,0.0
37,101042,azzam_zainuddin,Azzam,Zainuddin,Male,Malaysia,2006-09-03,2020-12-10,Finance Engineer,Finance,Kulim,Malaysia,active,18.0,3.0
38,101043,thaqif_saad,Thaqif,Saad,Male,Malaysia,1997-01-08,2022-06-13,Finance Manager,Finance,Kuala Lumpur,Malaysia,active,27.0,2.0
39,101044,jihan_wahid,Jihan,Wahid,Male,Indonesia,1985-10-13,2020-07-06,Finance Engineer,Finance,Surabaya,Indonesia,active,39.0,4.0
40,101045,farid_syedmohammedjalal,Farid,Syed Mohammed Jalal,Male,Malaysia,1989-01-19,2024-05-03,Site Support Manager,Site Support,Kulim,Malaysia,active,35.0,0.0
41,101046,haikal_rahman,Haikal,Rahman,Male,Malaysia,1988-02-26,2022-02-03,Sales Engineer,Sales,Senai,Malaysia,active,36.0,2.0
42,101047,ikram_shahbaz,Ikram,Shahbaz,Male,Malaysia,1993-03-11,2022-05-16,Safety Engineer,Safety,Senai,Malaysia,active,31.0,2.0
43,101048,bahar_pasha,Bahar,Pasha,Male,Malaysia,2003-09-05,2021-04-22,Engineering Analyst,Engineering,Senai,Malaysia,active,21.0,3.0
44,101049,iqbal_tohir,Iqbal,Tohir,Male,Malaysia,1998-06-06,2023-05-29,Data Analysis Analyst,Data Analysis,Kulim,Malaysia,active,26.0,1.0
45,101050,taufik_zulkifli,Taufik,Zulkifli,Male,Indonesia,1986-11-17,2020-01-19,Finance Executive,Finance,Surabaya,Indonesia,active,37.0,4.0
46,101051,raziq_malik,Raziq,Malik,Male,Indonesia,1987-10-28,2021-05-17,Finance Executive,Finance,Surabaya,Indonesia,active,37.0,3.0
47,101052,qudrat_hisham,Qudrat,Hisham,Male,Malaysia,1965-11-01,2024-02-06,Information Technology Analyst,Information Technology,Senai,Malaysia,inactive,59.0,0.0
48,101053,saad_ahmad,Saad,Ahmad,Male,Indonesia,1965-07-26,2023-10-05,Finance Engineer,Finance,Surabaya,Indonesia,inactive,59.0,1.0
49,101054,nizam_rami,Nizam,Rami,Male,Malaysia,1971-01-04,2021-09-19,Site Management Analyst,Site Management,Surabaya,Indonesia,active,53.0,3.0
50,101055,mikhail_azman,Mikhail,Azman,Male,Malaysia,1974-07-11,2020-04-27,Information Technology Manager,Information Technology,Kuala Lumpur,Malaysia,active,50.0,4.0
51,101056,shahir_mohammad,Shahir,Mohammad,Male,Malaysia,1979-02-17,2021-02-05,Engineering Manager,Engineering,Kuala Lumpur,Malaysia,active,45.0,3.0
52,101057,khodir_zahid,Khodir,Zahid,Male,Indonesia,1968-04-15,2024-07-27,Information Technology Executive,Information Technology,Surabaya,Indonesia,inactive,56.0,0.0
53,101058,azhari_firas,Azhari,Firas,Male,Malaysia,1984-06-11,2023-05-20,Site Support Engineer,Site Support,Surabaya,Indonesia,active,40.0,1.0
54,101059,bahtiar_syahril,Bahtiar,Syahril,Male,Malaysia,1972-10-30,2020-10-02,Sales Analyst,Sales,Senai,Malaysia,active,52.0,4.0
55,101060,ikmal_bakar,Ikmal,Bakar,Male,Malaysia,1972-08-24,2024-01-16,HR Engineer,Human Resource,Senai,Malaysia,active,52.0,0.0
56,101061,saad_nabil,Saad,Nabil,Male,Malaysia,1977-08-11,2023-04-10,Information Technology Analyst,Information Technology,Senai,Malaysia,active,47.0,1.0
57,101062,zulfadli_bashir,Zulfadli,Bashir,Male,Malaysia,2002-01-01,2022-02-06,Executive Management Manager,Executive Management,Kulim,Malaysia,active,22.0,2.0
58,101063,kamal_zahid,Kamal,Zahid,Male,Malaysia,1968-10-09,2021-10-01,Data Analysis Analyst,Data Analysis,Senai,Malaysia,inactive,56.0,3.0
59,101064,thaqif_shamsul,Thaqif,Shamsul,Male,Indonesia,1975-11-26,2022-07-01,Engineering Analyst,Engineering,Surabaya,Indonesia,active,48.0,2.0
60,101065,ihsan_farhan,Ihsan,Farhan,Male,Malaysia,2005-09-26,2023-10-03,Executive Management Analyst,Executive Management,Senai,Malaysia,active,19.0,1.0
61,101066,omar_misbah,Omar,Misbah,Male,Malaysia,1975-10-28,2023-09-29,Data Analysis Manager,Data Analysis,Kulim,Malaysia,active,49.0,1.0
62,101067,malik_yusof,Malik,Yusof,Male,Malaysia,1988-07-23,2022-03-10,Executive Management Analyst,Executive Management,Senai,Malaysia,active,36.0,2.0
63,101068,mikhail_luqman,Mikhail,Luqman,Male,Malaysia,2001-07-03,2022-07-12,Executive Management Engineer,Executive Management,Kuala Lumpur,Malaysia,active,23.0,2.0
64,101069,lutfi_umar,Lutfi,Umar,Male,Malaysia,1989-09-12,2022-03-15,Site Management Executive,Site Management,Kulim,Malaysia,active,35.0,2.0
65,101070,rayyan_zulkarnain,Rayyan,Zulkarnain,Male,Indonesia,1995-02-13,2020-06-16,Sales Engineer,Sales,Surabaya,Indonesia,active,29.0,4.0
66,101071,zulfadli_rizam,Zulfadli,Rizam,Male,Malaysia,1978-07-19,2021-01-08,Site Management Engineer,Site Management,Surabaya,Indonesia,active,46.0,3.0
67,101072,farhan_bakar,Farhan,Bakar,Male,Malaysia,1979-08-25,2020-05-28,Site Management Manager,Site Management,Kulim,Malaysia,active,45.0,4.0
68,101073,zulkarnain_mansor,Zulkarnain,Mansor,Male,Malaysia,1974-07-15,2022-12-16,Site Management Engineer,Site Management,Kuala Lumpur,Malaysia,active,50.0,1.0
69,101074,farhan_mansor,Farhan,Mansor,Male,Malaysia,1986-11-24,2023-02-04,Executive Management Manager,Executive Management,Kuala Lumpur,Malaysia,active,37.0,1.0
70,101075,khai_hafiz,Khai,Hafiz,Male,Indonesia,1983-01-10,2024-06-09,Safety Analyst,Safety,Surabaya,Indonesia,active,41.0,0.0
71,101076,emran_shahrul,Emran,Shahrul,Male,Malaysia,1971-03-15,2022-03-20,Finance Manager,Finance,Kulim,Malaysia,active,53.0,2.0
72,101077,danish_ibrahim,Danish,Ibrahim,Male,Malaysia,2001-10-08,2021-09-09,Engineering Executive,Engineering,Surabaya,Indonesia,active,23.0,3.0
73,101078,bahar_zaman,Bahar,Zaman,Male,Malaysia,2006-08-23,2020-10-27,Sales Analyst,Sales,Kulim,Malaysia,active,18.0,4.0
74,101079,firas_tajuddin,Firas,Tajuddin,Male,Malaysia,1995-01-31,2021-07-06,Data Analysis Engineer,Data Analysis,Senai,Malaysia,active,29.0,3.0
75,101080,jazlan_nabil,Jazlan,Nabil,Male,Malaysia,1998-07-06,2021-01-14,Information Technology Executive,Information Technology,Kuala Lumpur,Malaysia,active,26.0,3.0
76,101081,ramzi_rahman,Ramzi,Rahman,Male,Malaysia,1980-04-07,2024-07-18,Data Analysis Executive,Data Analysis,Kulim,Malaysia,active,44.0,0.0
77,101082,aidan_firas,Aidan,Firas,Male,Malaysia,1997-02-24,2021-09-25,HR Executive,Human Resource,Surabaya,Indonesia,active,27.0,3.0
78,101083,eshan_basri,Eshan,Basri,Male,Malaysia,1997-10-12,2024-12-09,Site Support Analyst,Site Support,Kulim,Malaysia,active,27.0,-1.0
79,101084,farhan_hisham,Farhan,Hisham,Male,Malaysia,1991-10-15,2021-06-06,Executive Management Analyst,Executive Management,Surabaya,Indonesia,active,33.0,3.0
80,101085,junaid_irwan,Junaid,Irwan,Male,Malaysia,2000-02-16,2020-10-08,Engineering Manager,Engineering,Surabaya,Indonesia,active,24.0,4.0
81,101086,naim_safwan,Naim,Safwan,Male,Malaysia,1998-11-06,2024-01-31,Information Technology Engineer,Information Technology,Surabaya,Indonesia,active,26.0,0.0
82,101087,wani_zaki,Wani,Zaki,Female,Malaysia,1990-02-16,2020-07-12,Safety Manager,Safety,Kulim,Malaysia,active,34.0,4.0
83,101088,raniah_wahid,Raniah,Wahid,Female,Malaysia,1979-07-31,2021-07-21,Information Technology Analyst,Information Technology,Senai,Malaysia,active,45.0,3.0
84,101089,zehra_hamid,Zehra,Hamid,Female,Malaysia,1967-04-29,2020-12-17,Engineering Executive,Engineering,Kuala Lumpur,Malaysia,inactive,57.0,3.0
85,101090,amira_mahyudeen,Amira,Mahyudeen,Female,Malaysia,1978-11-22,2023-03-18,Sales Analyst,Sales,Kulim,Malaysia,active,45.0,1.0
86,101091,syira_shamsul,Syira,Shamsul,Female,Indonesia,1999-03-26,2021-06-07,Site Management Analyst,Site Management,Surabaya,Indonesia,active,25.0,3.0
87,101092,khairunnisa_mohamad,Khairunnisa,Mohamad,Female,Malaysia,1986-11-22,2023-12-05,Site Support Engineer,Site Support,Surabaya,Indonesia,active,37.0,0.0
88,101093,azmira_mahmud,Azmira,Mahmud,Female,Malaysia,1979-08-22,2024-01-15,Site Management Manager,Site Management,Kuala Lumpur,Malaysia,active,45.0,0.0
89,101094,hanis_rahman,Hanis,Rahman,Female,Malaysia,2000-09-15,2021-06-10,Finance Analyst,Finance,Senai,Malaysia,active,24.0,3.0
90,101095,farisha_iskandar,Farisha,Iskandar,Female,Malaysia,1973-05-04,2020-05-30,Information Technology Engineer,Information Technology,Senai,Malaysia,active,51.0,4.0
91,101096,intan_ali,Intan,Ali,Female,Malaysia,2003-08-17,2020-12-27,Engineering Manager,Engineering,Senai,Malaysia,active,21.0,3.0
92,101097,darlina_noh,Darlina,Noh,Female,Malaysia,1988-12-30,2023-02-16,Data Analysis Executive,Data Analysis,Kulim,Malaysia,active,35.0,1.0
93,101098,najwa_mahyudeen,Najwa,Mahyudeen,Female,Malaysia,1990-06-22,2021-07-21,Safety Executive,Safety,Senai,Malaysia,active,34.0,3.0
94,101099,raniah_nabil,Raniah,Nabil,Female,Indonesia,1980-11-04,2024-02-24,Executive Management Engineer,Executive Management,Surabaya,Indonesia,active,44.0,0.0
95,101100,aida_umar,Aida,Umar,Female,Malaysia,1981-02-01,2023-11-27,Site Management Analyst,Site Management,Kulim,Malaysia,active,43.0,0.0
96,101101,veeradena_azzam,Veeradena,Azzam,Female,Indonesia,1967-05-31,2023-08-10,Sales Analyst,Sales,Surabaya,Indonesia,inactive,57.0,1.0
97,101102,tasha_basri,Tasha,Basri,Female,Malaysia,1991-09-01,2020-01-01,Site Management Engineer,Site Management,Kuala Lumpur,Malaysia,active,33.0,4.0
98,101103,najwa_zulkarnain,Najwa,Zulkarnain,Female,Malaysia,1973-07-12,2022-10-02,HR Engineer,Human Resource,Kuala Lumpur,Malaysia,active,51.0,2.0
99,101104,nabila_rizam,Nabila,Rizam,Female,Indonesia,1972-07-01,2023-08-30,Engineering Manager,Engineering,Surabaya,Indonesia,active,52.0,1.0
100,101105,syafikah_safwan,Syafikah,Safwan,Female,Malaysia,1972-07-07,2024-10-09,Sales Manager,Sales,Kuala Lumpur,Malaysia,active,52.0,0.0
101,101106,jannah_nasir,Jannah,Nasir,Female,Malaysia,1978-07-24,2022-09-02,Information Technology Analyst,Information Technology,Kuala Lumpur,Malaysia,active,46.0,2.0
102,101107,pusparatnasari_mizan,Puspa Ratnasari,Mizan,Female,Indonesia,1968-12-03,2023-11-01,Safety Engineer,Safety,Surabaya,Indonesia,inactive,55.0,1.0
103,101108,zainab_sukiman,Zainab,Sukiman,Female,Malaysia,2000-05-23,2024-11-01,Data Analysis Manager,Data Analysis,Senai,Malaysia,active,24.0,0.0
104,101109,elina_karim,Elina,Karim,Female,Malaysia,1995-08-05,2023-06-13,Sales Manager,Sales,Kuala Lumpur,Malaysia,active,29.0,1.0
105,101110,fariha_iskandar,Fariha,Iskandar,Female,Indonesia,1982-01-19,2023-05-07,Data Analysis Manager,Data Analysis,Surabaya,Indonesia,active,42.0,1.0
106,101111,zainab_rusli,Zainab,Rusli,Female,Malaysia,1979-09-24,2022-02-23,Site Support Manager,Site Support,Kulim,Malaysia,active,45.0,2.0
107,101112,nadira_iskandar,Nadira,Iskandar,Female,Malaysia,1964-06-04,2021-06-19,Safety Manager,Safety,Kuala Lumpur,Malaysia,inactive,60.0,3.0
108,101113,shazwani_zainul,Shazwani,Zainul,Female,Malaysia,1983-08-07,2024-03-15,Sales Manager,Sales,Surabaya,Indonesia,active,41.0,0.0
109,101114,sarimah_tajuddin,Sarimah,Tajuddin,Female,Malaysia,1972-08-31,2023-07-22,Safety Executive,Safety,Surabaya,Indonesia,active,52.0,1.0
110,101115,syafira_syedmohammedjalal,Syafira,Syed Mohammed Jalal,Female,Malaysia,1977-02-13,2019-10-27,Finance Manager,Finance,Kuala Lumpur,Malaysia,active,47.0,5.0
111,101116,hani_ahmad,Hani,Ahmad,Female,Malaysia,1964-10-08,2020-12-04,Engineering Manager,Engineering,Surabaya,Indonesia,inactive,60.0,3.0
112,101117,amira_zaman,Amira,Zaman,Female,Malaysia,1991-07-26,2023-03-01,Site Management Analyst,Site Management,Surabaya,Indonesia,active,33.0,1.0
113,101118,sofiya_naim,Sofiya,Naim,Female,Malaysia,1979-04-20,2024-02-01,Data Analysis Manager,Data Analysis,Senai,Malaysia,active,45.0,0.0
114,101119,amani_amir,Amani,Amir,Female,Malaysia,1968-08-21,2021-08-23,Safety Analyst,Safety,Kuala Lumpur,Malaysia,inactive,56.0,3.0
115,101120,amirah_rizki,Amirah,Rizki,Female,Malaysia,1976-05-20,2023-07-17,Site Management Manager,Site Management,Kulim,Malaysia,active,48.0,1.0
116,101121,laila_zaki,Laila,Zaki,Female,Malaysia,1990-12-18,2023-03-14,Engineering Manager,Engineering,Kulim,Malaysia,active,33.0,1.0
117,101122,wati_khairul,Wati,Khairul,Female,Malaysia,1989-05-25,2020-05-12,Data Analysis Analyst,Data Analysis,Kuala Lumpur,Malaysia,active,35.0,4.0
118,101123,qistina_ahmad,Qistina,Ahmad,Female,Malaysia,1978-11-27,2024-03-19,Information Technology Engineer,Information Technology,Senai,Malaysia,active,45.0,0.0
119,101124,wati_roslan,Wati,Roslan,Female,Malaysia,1990-02-03,2023-06-24,Data Analysis Manager,Data Analysis,Kulim,Malaysia,active,34.0,1.0
120,101125,puteh_naim,Puteh,Naim,Female,Malaysia,1968-10-23,2022-02-16,Executive Management Executive,Executive Management,Kulim,Malaysia,inactive,56.0,2.0
121,101126,zehra_safwan,Zehra,Safwan,Female,Malaysia,1987-05-17,2021-09-30,Safety Executive,Safety,Senai,Malaysia,active,37.0,3.0
122,101127,safira_rudi,Safira,Rudi,Female,Malaysia,1981-04-20,2022-03-10,Safety Engineer,Safety,Kuala Lumpur,Malaysia,active,43.0,2.0
123,101128,jannah_khairi,Jannah,Khairi,Female,Malaysia,1990-10-28,2020-09-29,Executive Management Manager,Executive Management,Senai,Malaysia,active,34.0,4.0
124,101129,wani_khairul,Wani,Khairul,Female,Malaysia,1972-05-26,2020-03-16,Sales Executive,Sales,Kuala Lumpur,Malaysia,active,52.0,4.0
125,101130,robiah_mazlan,Robiah,Mazlan,Female,Malaysia,1993-12-06,2024-04-25,Engineering Analyst,Engineering,Kulim,Malaysia,active,30.0,0.0
126,101131,qilasuhaila_mazlan,Qila Suhaila,Mazlan,Female,Indonesia,1985-05-19,2020-09-11,Sales Executive,Sales,Surabaya,Indonesia,active,39.0,4.0
127,101132,elisha_zaki,Elisha,Zaki,Female,Malaysia,1991-06-08,2019-08-11,Site Management Engineer,Site Management,Kuala Lumpur,Malaysia,active,33.0,5.0
128,101133,tiara_salim,Tiara,Salim,Female,Malaysia,1992-07-02,2024-01-17,Data Analysis Analyst,Data Analysis,Senai,Malaysia,active,32.0,0.0
129,101134,nurul_tohir,Nurul,Tohir,Female,Indonesia,1993-06-27,2022-03-05,HR Engineer,Human Resource,Surabaya,Indonesia,active,31.0,2.0
130,101135,farisha_pasha,Farisha,Pasha,Female,Indonesia,2001-02-24,2023-06-15,Information Technology Analyst,Information Technology,Surabaya,Indonesia,active,23.0,1.0
131,101136,iman_malik,Iman,Malik,Female,Indonesia,1980-11-11,2023-04-09,Safety Manager,Safety,Surabaya,Indonesia,active,43.0,1.0
132,101137,veeradena_munir,Veeradena,Munir,Female,Malaysia,1985-01-21,2024-05-22,Information Technology Analyst,Information Technology,Senai,Malaysia,active,39.0,0.0
133,101138,pusparatnasari_rizal,Puspa Ratnasari,Rizal,Female,Indonesia,1984-02-28,2021-02-19,Sales Executive,Sales,Surabaya,Indonesia,active,40.0,3.0
134,101139,damia_firdaus,Damia,Firdaus,Female,Indonesia,1981-02-24,2023-09-24,Safety Manager,Safety,Surabaya,Indonesia,active,43.0,1.0
135,101140,ummi_omar,Ummi,Omar,Female,Indonesia,1995-09-16,2022-07-10,Engineering Executive,Engineering,Surabaya,Indonesia,active,29.0,2.0
136,101141,syarifah_ahmad,Syarifah,Ahmad,Female,Malaysia,1980-08-17,2022-09-01,Engineering Manager,Engineering,Senai,Malaysia,active,44.0,2.0
137,101142,zalwani_johan,Zalwani,Johan,Female,Malaysia,1989-02-28,2022-10-30,Executive Management Manager,Executive Management,Senai,Malaysia,active,35.0,2.0
138,101143,tasha_malik,Tasha,Malik,Female,Malaysia,1995-02-06,2021-10-22,Site Management Executive,Site Management,Kulim,Malaysia,active,29.0,3.0
139,101144,mirafilzah_badri,Mira Filzah,Badri,Female,Malaysia,2001-03-05,2024-07-07,Engineering Manager,Engineering,Kuala Lumpur,Malaysia,active,23.0,0.0
140,101145,alisha_rizam,Alisha,Rizam,Female,Indonesia,1994-12-02,2023-04-03,Site Support Engineer,Site Support,Surabaya,Indonesia,active,29.0,1.0
141,101146,tatisuriati_zainul,Tati Suriati,Zainul,Female,Malaysia,1984-04-15,2022-09-14,Data Analysis Executive,Data Analysis,Kulim,Malaysia,active,40.0,2.0
142,101147,elisha_mizan,Elisha,Mizan,Female,Indonesia,1967-03-26,2024-02-16,Site Support Analyst,Site Support,Surabaya,Indonesia,inactive,57.0,0.0
143,101148,hanis_shahin,Hanis,Shahin,Female,Malaysia,1967-03-31,2022-12-17,Data Analysis Executive,Data Analysis,Kulim,Malaysia,inactive,57.0,1.0
144,101149,nuraina_rizam,Nuraina,Rizam,Female,Malaysia,2005-06-20,2020-10-29,Site Support Analyst,Site Support,Kulim,Malaysia,active,19.0,4.0
145,101150,elina_idris,Elina,Idris,Female,Malaysia,1991-08-22,2020-12-17,Safety Manager,Safety,Kulim,Malaysia,active,33.0,3.0
146,101151,thalia_rahman,Thalia,Rahman,Female,Malaysia,1965-12-12,2024-02-08,Information Technology Analyst,Information Technology,Kulim,Malaysia,inactive,58.0,0.0
147,101152,yara_firas,Yara,Firas,Female,Malaysia,1976-08-28,2021-03-16,Safety Manager,Safety,Senai,Malaysia,active,48.0,3.0
148,101153,veeradena_salim,Veeradena,Salim,Female,Malaysia,1977-05-20,2024-09-20,Executive Management Analyst,Executive Management,Senai,Malaysia,active,47.0,0.0
149,101154,khairunnisa_firas,Khairunnisa,Firas,Female,Malaysia,2001-04-16,2020-09-26,Sales Analyst,Sales,Kuala Lumpur,Malaysia,active,23.0,4.0
150,101155,tiara_khairi,Tiara,Khairi,Female,Malaysia,1965-02-11,2022-09-29,Sales Executive,Sales,Kuala Lumpur,Malaysia,inactive,59.0,2.0
151,101156,qilasuhaila_hisham,Qila Suhaila,Hisham,Female,Malaysia,1965-09-26,2020-03-24,HR Executive,Human Resource,Senai,Malaysia,inactive,59.0,4.0
152,101157,alia_kamal,Alia,Kamal,Female,Malaysia,1977-10-31,2020-08-28,Finance Engineer,Finance,Kuala Lumpur,Malaysia,active,47.0,4.0
153,101158,nuraina_zaman,Nuraina,Zaman,Female,Malaysia,1998-03-29,2024-01-05,Site Support Executive,Site Support,Surabaya,Indonesia,active,26.0,0.0
154,101159,kamila_zahir,Kamila,Zahir,Female,Malaysia,1980-01-18,2023-07-07,Information Technology Executive,Information Technology,Kulim,Malaysia,active,44.0,1.0
155,101160,elina_wafi,Elina,Wafi,Female,Indonesia,1980-01-28,2023-09-28,Executive Management Manager,Executive Management,Surabaya,Indonesia,active,44.0,1.0
156,101161,sarina_kamal,Sarina,Kamal,Female,Malaysia,1975-12-18,2023-02-21,Information Technology Executive,Information Technology,Senai,Malaysia,active,48.0,1.0
157,101162,dinesh_sivasubramaniam,Dinesh ,Sivasubramaniam,Male,Malaysia,1975-08-23,2019-10-29,Site Management Engineer,Site Management,Senai,Malaysia,active,49.0,5.0
158,101163,ravikumar_sivasubramaniam,Ravi Kumar ,Sivasubramaniam,Male,Malaysia,1987-07-30,2023-06-09,Executive Management Analyst,Executive Management,Senai,Malaysia,active,37.0,1.0
159,101164,rajeshreddy_balakrishnan,Rajesh Reddy ,Balakrishnan,Male,Malaysia,1987-11-22,2024-01-14,Site Management Executive,Site Management,Kuala Lumpur,Malaysia,active,36.0,0.0
160,101165,balaji_ramasamy,Balaji ,Ramasamy,Male,Malaysia,1987-10-20,2024-03-18,Data Analysis Executive,Data Analysis,Kuala Lumpur,Malaysia,active,37.0,0.0
161,101166,karthik_vellayan,Karthik ,Vellayan,Male,Malaysia,1987-02-12,2021-08-11,Safety Manager,Safety,Surabaya,Indonesia,active,37.0,3.0
162,101167,harish_arumugam,Harish ,Arumugam,Male,Malaysia,1978-03-08,2020-05-15,Data Analysis Manager,Data Analysis,Senai,Malaysia,active,46.0,4.0
163,101168,harish_ramalingam,Harish ,Ramalingam,Male,Malaysia,1990-06-04,2023-07-23,Site Support Analyst,Site Support,Senai,Malaysia,active,34.0,1.0
164,101169,surendran_rajesh,Surendran ,Rajesh,Male,Malaysia,2005-08-03,2024-04-19,Safety Analyst,Safety,Kuala Lumpur,Malaysia,active,19.0,0.0
